player_id,player_name,position,birth_year,draft_year,draft_round,draft_pick,draft_ovr,height,weight,college,season,team,season_type,solo_tackle,assist_tackle,tackle_with_assist,sack,qb_hit,safety,interception,def_touchdown,defensive_two_point_attempt,fumble_forced,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv,defense_snaps,team_defense_snaps,defense_pct,age
00-0000551,Brendon Ayanbadejo,ILB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,BAL,POST,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,17.0,89.0,0.1910112359550561,0.0
00-0000551,Brendon Ayanbadejo,ILB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,BAL,REG,14.0,20.0,13.0,4.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,170.0,482.0,0.3526970954356846,0.0
00-0000585,Champ Bailey,CB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,DEN,POST,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,78.0,80.0,0.975,0.0
00-0000585,Champ Bailey,CB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,DEN,REG,67.0,6.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0,0,0.0,0.0,0.0,1013.0,1070.0,0.9467289719626168,0.0
00-0000741,Ronde Barber,FS,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,TB,REG,76.0,29.0,16.0,3.0,5.0,0.0,8.0,2.0,0.0,2,0.0,0.0,0.0,1071.0,1078.0,0.9935064935064936,0.0
00-0001263,Matt Birk,C,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,IND,POST,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0001263,Matt Birk,C,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,PHI,REG,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0001263,Matt Birk,C,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,PIT,REG,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0001820,Keith Brooking,OLB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,DEN,POST,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,35.0,80.0,0.4375,0.0
00-0001820,Keith Brooking,OLB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,DEN,REG,31.0,25.0,8.0,4.0,5.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,453.0,1071.0,0.42296918767507,0.0
00-0004541,Donald Driver,WR,1975,1999.0,7.0,7.0,213.0,72.0,194.0,Alcorn State,2012,ARI,REG,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
00-0005322,London Fletcher,ILB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,WAS,POST,5.0,12.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,71.0,71.0,1.0,0.0
00-0005322,London Fletcher,ILB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,WAS,REG,82.0,76.0,32.0,11.0,18.0,0.0,10.0,0.0,0.0,2,0.0,0.0,0.0,1008.0,1074.0,0.9385474860335196,0.0
00-0006101,Tony Gonzalez,TE,1976,1997.0,1.0,13.0,13.0,77.0,247.0,California,2012,ARI,REG,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
00-0006101,Tony Gonzalez,TE,1976,1997.0,1.0,13.0,13.0,77.0,247.0,California,2012,LAC,REG,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
00-0006101,Tony Gonzalez,TE,1976,1997.0,1.0,13.0,13.0,77.0,247.0,California,2012,LV,REG,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
00-0007091,Matt Hasselbeck,QB,1975,1998.0,6.0,34.0,187.0,76.0,235.0,Boston College,2012,CHI,REG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,37.0
00-0007611,Vonnie Holliday,DE,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,ARI,REG,7.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,137.0,673.0,0.2035661218424962,0.0
00-0009889,Ray Lewis,ILB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,BAL,POST,26.0,27.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,267.0,267.0,1.0,0.0
00-0009889,Ray Lewis,ILB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,BAL,REG,36.0,24.0,24.0,2.0,2.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,441.0,462.0,0.9545454545454546,0.0
00-0012871,Mike Peterson,OLB,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2012,ATL,REG,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,110.0,306.0,0.3594771241830065,0.0
