game_id,season,week,team,season_type,safety,interception,fumble,fumble_lost,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,assist_tackle,tackle_with_assist,sack,qb_hit,def_touchdown,defensive_two_point_attempt,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv,total_off_points,total_def_points,extra_point,field_goal,kickoff,no_play,pass_snaps,punt,qb_kneel,qb_spike,rush_snaps,defense_snaps,st_snaps,rush_pct,pass_pct,home_win,home_loss,home_tie,away_win,away_loss,away_tie,win,loss,tie
2012_01_SEA_ARI,2012,1,ARI,REG,0,1,2,1,1,1,0,55,6,4,3,8,0,0,0,0,0,16.0,0.0,1,4,5,13,37,4,0,0,33,70,14,0.47,0.53,1,0,0,0,0,0,1,0,0
2012_02_ARI_NE,2012,2,ARI,REG,0,1,0,0,0,0,0,47,8,0,4,6,0,0,0,0,0,18.0,0.0,0,5,5,4,50,6,0,1,28,79,16,0.35,0.63,0,0,0,1,0,0,2,0,0
2012_03_PHI_ARI,2012,3,ARI,REG,0,0,2,2,2,0,0,46,4,1,5,14,1,0,0,0,0,7.0,6.0,0,2,5,2,42,5,0,0,21,63,12,0.33,0.67,1,0,0,0,0,0,3,0,0
2012_04_MIA_ARI,2012,4,ARI,REG,0,2,4,2,3,2,0,54,8,5,4,10,0,0,0,0,0,21.0,0.0,1,3,4,3,46,5,1,0,28,75,13,0.37,0.61,1,0,0,0,0,0,4,0,0
2012_05_ARI_STL,2012,5,ARI,REG,0,1,0,0,0,0,0,35,5,0,1,6,0,0,0,0,0,17.0,0.0,2,1,2,5,22,7,4,0,28,54,12,0.52,0.41,0,0,0,0,1,0,4,1,0
2012_06_BUF_ARI,2012,6,ARI,REG,0,1,1,1,1,0,0,52,7,2,2,2,0,0,0,0,0,17.0,0.0,2,1,7,3,34,8,0,1,33,68,18,0.49,0.5,0,1,0,0,0,0,4,2,0
2012_07_ARI_MIN,2012,7,ARI,REG,0,2,0,0,0,0,0,34,9,0,3,4,0,0,0,0,0,15.0,0.0,3,0,3,6,20,7,0,0,27,47,13,0.57,0.43,0,0,0,0,1,0,4,3,0
2012_08_SF_ARI,2012,8,ARI,REG,0,0,0,0,0,0,0,50,2,0,4,4,0,0,0,0,0,24.0,0.0,3,1,2,5,23,5,0,0,29,52,11,0.56,0.44,0,1,0,0,0,0,4,4,0
2012_09_ARI_GB,2012,9,ARI,REG,0,1,3,1,1,2,0,41,12,8,1,3,0,0,0,0,0,31.0,0.0,4,2,4,4,31,6,4,0,35,70,16,0.5,0.44,0,0,0,0,1,0,4,5,0
2012_11_ARI_ATL,2012,11,ARI,REG,0,5,2,1,2,0,1,53,5,0,1,5,0,0,0,0,0,17.0,0.0,2,3,6,3,47,4,3,0,21,71,15,0.3,0.66,0,0,0,0,1,0,4,6,0
2012_12_STL_ARI,2012,12,ARI,REG,0,1,1,0,1,0,0,40,6,2,2,1,0,0,0,0,0,19.0,0.0,4,2,3,7,20,6,1,0,33,54,15,0.61,0.37,0,1,0,0,0,0,4,7,0
2012_13_ARI_NYJ,2012,13,ARI,REG,0,3,1,1,1,0,0,55,9,0,3,5,0,0,0,0,0,7.0,0.0,1,2,2,4,31,6,0,0,43,74,11,0.58,0.42,0,0,0,0,1,0,4,8,0
2012_14_ARI_SEA,2012,14,ARI,REG,0,1,2,2,1,1,0,36,16,3,1,3,1,0,0,0,0,47.0,6.0,7,3,1,5,23,3,1,0,41,65,14,0.63,0.35,0,0,0,0,1,0,4,9,0
2012_15_DET_ARI,2012,15,ARI,REG,0,3,0,0,0,0,0,49,6,4,2,8,2,0,0,0,0,12.0,12.0,1,1,7,7,52,8,0,0,22,74,17,0.3,0.7,1,0,0,0,0,0,5,9,0
2012_16_CHI_ARI,2012,16,ARI,REG,0,0,0,0,0,0,0,43,4,0,1,1,0,0,0,0,0,22.0,0.0,4,1,4,1,27,9,2,0,31,60,18,0.52,0.45,0,1,0,0,0,0,5,10,0
2012_17_ARI_SF,2012,17,ARI,REG,0,0,1,0,1,0,1,41,13,13,1,4,0,0,0,0,0,27.0,0.0,3,4,4,2,30,4,2,0,35,67,15,0.52,0.45,0,0,0,0,1,0,5,11,0
2012_01_ATL_KC,2012,1,ATL,REG,0,2,1,1,1,0,0,58,2,0,3,5,0,0,0,0,0,24.0,0.0,3,2,9,0,36,1,1,0,32,69,15,0.46,0.52,0,0,0,1,0,0,1,0,0
2012_02_DEN_ATL,2012,2,ATL,REG,0,3,1,1,1,0,0,50,7,0,3,6,0,0,0,0,0,21.0,0.0,3,0,6,10,40,5,0,0,27,67,14,0.4,0.6,1,0,0,0,0,0,2,0,0
2012_03_ATL_SD,2012,3,ATL,REG,0,2,2,2,2,0,0,31,13,13,1,3,0,0,0,0,0,3.0,0.0,0,1,5,2,39,4,0,0,17,56,10,0.3,0.7,0,0,0,1,0,0,3,0,0
2012_04_CAR_ATL,2012,4,ATL,REG,0,0,3,1,3,0,0,48,4,0,3,3,0,0,0,0,0,28.0,0.0,4,0,7,4,28,6,0,0,35,63,17,0.56,0.44,1,0,0,0,0,0,4,0,0
2012_05_ATL_WAS,2012,5,ATL,REG,0,2,0,0,0,0,0,32,14,6,3,7,0,0,0,0,0,11.0,0.0,2,2,5,1,27,6,0,0,21,48,15,0.44,0.56,0,0,0,1,0,0,5,0,0
2012_06_OAK_ATL,2012,6,ATL,REG,0,1,2,2,2,0,0,53,5,0,3,5,1,0,0,0,0,21.0,6.0,2,2,6,6,36,5,0,0,32,68,15,0.47,0.53,1,0,0,0,0,0,6,0,0
2012_08_ATL_PHI,2012,8,ATL,REG,0,0,2,0,1,1,1,42,5,0,3,6,0,0,0,0,0,17.0,0.0,2,1,7,2,38,3,0,0,24,62,13,0.39,0.61,0,0,0,1,0,0,7,0,0
2012_09_DAL_ATL,2012,9,ATL,REG,0,0,0,0,0,0,0,38,6,0,1,1,0,0,0,0,0,13.0,0.0,1,3,5,4,36,4,0,0,18,54,13,0.33,0.67,1,0,0,0,0,0,8,0,0
2012_10_ATL_NO,2012,10,ATL,REG,0,1,0,0,0,0,0,41,11,0,1,2,0,0,0,0,0,31.0,0.0,4,1,6,2,33,5,1,0,28,62,16,0.45,0.53,0,0,0,0,1,0,8,1,0
2012_11_ARI_ATL,2012,11,ATL,REG,0,0,1,1,1,0,0,43,4,0,3,5,1,0,0,0,0,20.0,6.0,1,4,5,2,30,8,0,0,26,56,18,0.46,0.54,1,0,0,0,0,0,9,1,0
2012_12_ATL_TB,2012,12,ATL,REG,0,0,0,0,0,0,0,36,6,6,2,5,0,0,0,0,0,23.0,0.0,2,4,5,5,33,2,0,0,21,54,13,0.39,0.61,0,0,0,1,0,0,10,1,0
2012_13_NO_ATL,2012,13,ATL,REG,0,5,0,0,0,0,0,52,5,0,1,6,0,0,0,0,0,13.0,0.0,1,2,6,6,51,4,0,0,23,74,13,0.31,0.69,1,0,0,0,0,0,11,1,0
2012_14_ATL_CAR,2012,14,ATL,REG,0,0,1,0,1,0,1,41,12,0,1,4,0,0,0,0,0,30.0,0.0,3,3,4,3,36,2,2,0,30,68,12,0.44,0.53,0,0,0,0,1,0,11,2,0
2012_15_NYG_ATL,2012,15,ATL,REG,0,2,1,1,1,0,0,34,8,0,1,3,0,0,0,0,0,,,0,1,7,1,26,2,0,0,21,47,10,0.45,0.55,1,0,0,0,0,0,12,2,0
2012_16_ATL_DET,2012,16,ATL,REG,0,1,2,2,2,0,0,54,8,0,0,6,0,0,0,0,0,16.0,0.0,1,3,7,2,56,2,0,0,22,78,13,0.28,0.72,0,0,0,1,0,0,13,2,0
2012_17_TB_ATL,2012,17,ATL,REG,0,1,0,0,0,0,0,49,2,0,0,2,0,0,0,0,0,22.0,0.0,1,3,4,2,36,5,0,0,30,66,13,0.45,0.55,0,1,0,0,0,0,13,3,0
