team,season,season_type,safety,interception,fumble,fumble_lost,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,assist_tackle,tackle_with_assist,sack,qb_hit,def_touchdown,defensive_two_point_attempt,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv,defense_snaps,rush_snaps,pass_snaps,win,loss,tie,win_pct,rush_pct,pass_pct
ARI,2012,REG,0.0,22.0,19.0,11.0,14.0,6.0,2.0,731.0,120.0,42.0,38.0,84.0,4,0.0,0.0,0.0,0.0,1043,488,535,5.0,11.0,0.0,0.312,0.47,0.51
ATL,2012,POST,0.0,1.0,2.0,2.0,2.0,0.0,0.0,74.0,21.0,0.0,3.0,5.0,0,0.0,0.0,0.0,0.0,117,57,60,14.0,4.0,0.0,0.778,0.49,0.51
ATL,2012,REG,0.0,20.0,16.0,11.0,15.0,1.0,2.0,702.0,112.0,25.0,29.0,69.0,2,0.0,0.0,0.0,0.0,992,407,581,14.0,4.0,0.0,0.778,0.41,0.59
BAL,2012,POST,0.0,6.0,6.0,4.0,5.0,1.0,0.0,190.0,55.0,18.0,9.0,25.0,1,0.0,0.0,0.0,0.0,317,127,187,14.0,6.0,0.0,0.7,0.4,0.59
BAL,2012,REG,0.0,13.0,22.0,10.0,8.0,14.0,3.0,678.0,219.0,143.0,37.0,83.0,2,0.0,0.0,0.0,0.0,1088,486,593,14.0,6.0,0.0,0.7,0.45,0.55
BUF,2012,REG,1.0,12.0,24.0,9.0,20.0,4.0,3.0,612.0,207.0,121.0,36.0,63.0,1,0.0,0.0,0.0,0.0,1044,461,569,6.0,10.0,0.0,0.375,0.44,0.55
CAR,2012,REG,1.0,11.0,22.0,15.0,19.0,3.0,0.0,658.0,188.0,23.0,39.0,63.0,3,0.0,0.0,0.0,0.0,1014,407,597,7.0,9.0,0.0,0.438,0.4,0.59
CHI,2012,REG,0.0,24.0,33.0,19.0,26.0,7.0,5.0,709.0,120.0,17.0,41.0,57.0,9,0.0,0.0,0.0,0.0,1023,378,633,10.0,6.0,0.0,0.625,0.37,0.62
CIN,2012,POST,0.0,1.0,1.0,0.0,0.0,1.0,0.0,60.0,9.0,1.0,0.0,2.0,1,0.0,0.0,0.0,0.0,77,37,36,10.0,7.0,0.0,0.588,0.48,0.47
CIN,2012,REG,0.0,14.0,25.0,15.0,17.0,8.0,0.0,655.0,226.0,50.0,51.0,89.0,3,0.0,0.0,0.0,0.0,1035,413,609,10.0,7.0,0.0,0.588,0.4,0.59
